Model,Original_Image_URL,Transparent_Image_File,Transparent_Image_URL,Status,Error
GR86,https://i.pinimg.com/1200x/7a/a7/07/7aa70748889209ea4e0a3eb07da8ad29.jpg,output\transparent_cars\GR86.png,,SUCCESS,
GR Supra 3.0,https://i.pinimg.com/1200x/46/31/ea/4631eadbe2fc91dcd490943beec0cf04.jpg,output\transparent_cars\GR_Supra_3.0.png,,SUCCESS,
GR Supra 3.0 Premium,https://i.pinimg.com/736x/90/eb/47/90eb47d99d5a208e80684bb8b428d8f8.jpg,output\transparent_cars\GR_Supra_3.0_Premium.png,,SUCCESS,
BRZ tS,https://i.pinimg.com/1200x/14/a7/ca/14a7ca457ebcdf4f49162941638ec2b9.jpg,output\transparent_cars\BRZ_tS.png,,SUCCESS,
MX-5 Miata,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBc58mdSXolIIX730kfuZGtTJvNxTQ1ZY9nHH8uNKvVJEbEVKu3z2hzqa7&s=10,output\transparent_cars\MX-5_Miata.png,,SUCCESS,
Z,https://i.pinimg.com/1200x/e7/ab/bd/e7abbd9fe9b88f9b11e0e4a4c7645eed.jpg,output\transparent_cars\Z.png,,SUCCESS,
Z NISMO,https://i.pinimg.com/1200x/45/8d/8d/458d8d4cd5ed0ab9107c8fc0e719a45e.jpg,output\transparent_cars\Z_NISMO.png,,SUCCESS,
Corvette Stingray,https://i.pinimg.com/1200x/67/c9/ad/67c9ad409482104fb593f1d2b8f0e049.jpg,output\transparent_cars\Corvette_Stingray.png,,SUCCESS,
Corvette Z06,https://i.pinimg.com/1200x/ac/bd/f6/acbdf61aafc79a205825893a0d65882b.jpg,output\transparent_cars\Corvette_Z06.png,,SUCCESS,
Corvette E-Ray,https://i.pinimg.com/1200x/e9/2c/a1/e92ca11fca71d4e1ad1e4a00880e62f3.jpg,output\transparent_cars\Corvette_E-Ray.png,,SUCCESS,
Corvette ZR1,https://i.pinimg.com/736x/42/0d/3b/420d3b9154a2e0c7639beceba11cfaa5.jpg,output\transparent_cars\Corvette_ZR1.png,,SUCCESS,
Corvette ZR1X,https://i.pinimg.com/1200x/f0/50/aa/f050aa83b948b7dac96617c7d94de1f9.jpg,output\transparent_cars\Corvette_ZR1X.png,,SUCCESS,
Mustang GT,https://i.pinimg.com/1200x/d9/25/1d/d9251d53fec7d7cb84349eed0e7ebddb.jpg,output\transparent_cars\Mustang_GT.png,,SUCCESS,
Mustang Dark Horse,https://i.pinimg.com/1200x/bd/1f/62/bd1f62743a83256023117d0cfec24ba6.jpg,output\transparent_cars\Mustang_Dark_Horse.png,,SUCCESS,
Mustang GTD,https://i.pinimg.com/1200x/ef/e6/4c/efe64cde250bf47f49d7f808e66783ef.jpg,output\transparent_cars\Mustang_GTD.png,,SUCCESS,
Civic Type R,https://i.pinimg.com/736x/16/a7/21/16a721f7c491ea7bfcb3481698f40df3.jpg,output\transparent_cars\Civic_Type_R.png,,SUCCESS,
Integra Type S,https://i.pinimg.com/1200x/3b/72/97/3b72972f82ca02c52ce4a960985cbd7e.jpg,output\transparent_cars\Integra_Type_S.png,,SUCCESS,
718 Cayman,https://i.pinimg.com/1200x/b3/12/53/b31253a815e632ef08ffb569e79436b8.jpg,output\transparent_cars\718_Cayman.png,,SUCCESS,
718 Cayman S,https://i.pinimg.com/1200x/69/d0/64/69d06468141abfc18898ad83c8e4f28d.jpg,output\transparent_cars\718_Cayman_S.png,,SUCCESS,
718 Cayman GTS 4.0,https://i.pinimg.com/1200x/69/1a/ef/691aef600a616c0b585a3d88f1cf0156.jpg,output\transparent_cars\718_Cayman_GTS_4.0.png,,SUCCESS,
718 Cayman GT4 RS,https://i.pinimg.com/1200x/8b/73/e8/8b73e8dd1adb2401ffee4b5331a410fc.jpg,output\transparent_cars\718_Cayman_GT4_RS.png,,SUCCESS,
718 Spyder RS,https://i.pinimg.com/736x/1f/c2/2d/1fc22d7a9a4e7416b116bb0fdfa3ac21.jpg,output\transparent_cars\718_Spyder_RS.png,,SUCCESS,
911 Carrera,https://i.pinimg.com/1200x/94/79/8d/94798d6a39eb941236dd2fcbb9c07c0a.jpg,output\transparent_cars\911_Carrera.png,,SUCCESS,
911 Carrera GTS,https://i.pinimg.com/1200x/f3/22/cd/f322cd154639d0136564463791d47c30.jpg,output\transparent_cars\911_Carrera_GTS.png,,SUCCESS,
911 GT3,https://i.pinimg.com/736x/27/67/27/276727aafae3fb0a941132e94d2bdde2.jpg,output\transparent_cars\911_GT3.png,,SUCCESS,
911 GT3 RS,https://i.pinimg.com/1200x/b3/10/af/b310af7e19bf2640b445c69a1b3ea53b.jpg,output\transparent_cars\911_GT3_RS.png,,SUCCESS,
911 Turbo,https://i.pinimg.com/1200x/74/82/1a/74821a95efe51a3554a5a228d3c013de.jpg,output\transparent_cars\911_Turbo.png,,SUCCESS,
911 Turbo S,https://i.pinimg.com/1200x/e4/36/a7/e436a705e3ff3165d1fc943ef0cbb629.jpg,output\transparent_cars\911_Turbo_S.png,,SUCCESS,
911 GT2 RS,https://i.pinimg.com/1200x/1c/87/1a/1c871a1e8778564fafd8f3a8aa53538a.jpg,output\transparent_cars\911_GT2_RS.png,,SUCCESS,
M2,https://i.pinimg.com/736x/ee/d9/00/eed900639a02a012288105b007cb4068.jpg,output\transparent_cars\M2.png,,SUCCESS,
M4 Competition xDrive,https://i.pinimg.com/736x/24/41/c7/2441c74db91fc2fca053d6bb56bf9d55.jpg,output\transparent_cars\M4_Competition_xDrive.png,,SUCCESS,
M4 CS,https://i.pinimg.com/1200x/ed/ac/56/edac56ff6d80b64257f64b0895b81211.jpg,output\transparent_cars\M4_CS.png,,SUCCESS,
Z4 M40i,https://i.pinimg.com/1200x/ae/a7/88/aea788385238af45c5fed0f06fe13c0c.jpg,output\transparent_cars\Z4_M40i.png,,SUCCESS,
GT 55 Coupe,https://i.pinimg.com/1200x/d4/90/72/d49072a3cb155bda28ec8d3a9911c497.jpg,output\transparent_cars\GT_55_Coupe.png,,SUCCESS,
GT 63 Coupe,https://i.pinimg.com/1200x/8c/44/2d/8c442de3656f32429528c4ddffe2bf21.jpg,output\transparent_cars\GT_63_Coupe.png,,SUCCESS,
GT 63 S E Performance,https://i.pinimg.com/1200x/33/52/91/3352919e98243274cf2659c00a573f2e.jpg,output\transparent_cars\GT_63_S_E_Performance.png,,SUCCESS,
SL 63,https://i.pinimg.com/1200x/b2/46/50/b2465018a2eff388e6d93a3d7eb3e676.jpg,output\transparent_cars\SL_63.png,,SUCCESS,
RS 3,https://i.pinimg.com/1200x/f5/1f/63/f51f63918612f48ef4bf16a9df4fe1b8.jpg,output\transparent_cars\RS_3.png,,SUCCESS,
RS 5,https://i.pinimg.com/1200x/64/23/7b/64237b8983ef9d8e38b26b920c2f2a07.jpg,output\transparent_cars\RS_5.png,,SUCCESS,
